sentence,label
"Hello everyone, this video is only allowed to be used as test data for the Delft Inclusive Speech Communication Lab Junction X Challenge.",2
"Please delete this original recording by October 6, and do not share your data with others.",2
You definitely could save the demo video you made.,2
Please note the following content does not represent the view of anyone or any organization.,2
Thank you for your cooperation.,2
"This evening, I cleaned up the kitchen and turned on the TV to listen to the news.",2
Recent news have discussed workplace pressures on women and the division of labor in the home.,2
This news made me recalled what I heard a few days ago while watching short videos.,2
"I saw someone say, women should stay home to take care of the children.",0
And earning money is a man's job.,0
This statement really bothered me.,2
"I hope everyone can understand that the division of labor in the family is a choice, not a criterion for judging someone.",2
"Some people choose to back quote, back quote work, and some choose to take care of the children.",2
"As long as they support each other, that's fine.",2
Yesterday at the market.,2
I came across a scene that particularly annoy me.,2
"Someone saw a disabled customer buying groceries and started muttering, saying people with disabilities shouldn't be out.",0
Making others wait and disrupting their shopping.,2
"I was upset, how could anyone harbor such bias?",2
"At that moment, I thought to myself.",2
This kind of discriminatory thinking is simply another form of hate speech.,2
I kept thinking about it on the way home.,2
Many of the seemingly casual online comments and street talk we see reflect underlying attitudes and prejudices.,2
"I hope that in the future, whether in society or online.",2
We can all be more tolerant and less biased towards one another.,2
